,chunk_set_id,wo_context_acc,w_context,chunks in the set
0,0,0.6470588235294118,0.8823529411764706,17
1,1,0.7435897435897436,0.9230769230769231,39
2,2,0.75,0.875,24
3,3,0.8275862068965517,0.9310344827586207,29
4,4,0.6666666666666666,0.9166666666666666,12
5,5,0.7241379310344828,0.8620689655172413,29
6,6,0.8181818181818182,0.7272727272727273,11
7,7,0.8421052631578947,0.9473684210526315,19
8,8,0.825,0.95,40
9,9,0.8,0.88,25
