,chunk_set_id,wo_context_acc,w_context,chunks in the set
0,0,0.47058823529411764,0.5294117647058824,17
1,1,0.75,0.775,40
2,2,0.76,0.76,25
3,3,0.6206896551724138,0.7241379310344828,29
4,4,0.5384615384615384,0.6923076923076923,13
5,5,0.6451612903225806,0.6774193548387096,31
6,6,0.7272727272727273,0.9090909090909091,11
7,7,0.782608695652174,0.9130434782608695,23
8,8,0.6046511627906976,0.7441860465116279,43
9,9,0.5,0.9230769230769231,26
